cc_num,first,last,trans_num,trans_date,trans_time,unix_time,category,merchant,amt,merch_lat,merch_long,is_fraud
180094108369013,John,Holland,80f5177be11f0bcd768e06a0b1b294c8,2012-01-01T00:00:00.000+05:30,00:12:15,1325376735,personal_care,Hills-Boyer,64,39.011566,-119.937831,0
4368593032190508,Carla,Fleming,7933d389bf8ef8a11a8a301da6e6bc6c,2012-01-01T00:00:00.000+05:30,00:16:58,1325377018,gas_transport,Friesen-DAmore,133,40.149071,-75.589697,0
4361355512072,Matthew,Nelson,1467c318b5d73d22d6741f575db42f3f,2012-01-01T00:00:00.000+05:30,00:36:42,1325378202,entertainment,Larson-Moen,119,47.297797,-96.819362,0
4037295225657274,Antonio,Garcia,4a3848719d72daaa32c938ce43e0eb03,2012-01-01T00:00:00.000+05:30,00:37:59,1325378279,shopping_pos,Lynch Ltd,62,40.078781,-102.373954,0
4515092388857440,Timothy,Silva,02d27e94f279e1013a4c323eb8bb6811,2012-01-01T00:00:00.000+05:30,00:39:18,1325378358,shopping_pos,"Baumbach, Strosin and Nicolas",198,41.549359,-83.044403,0
4037295225657274,Antonio,Garcia,9d88e9ebbc31b218c192086fbfe9dd5e,2012-01-01T00:00:00.000+05:30,00:53:48,1325379228,shopping_pos,"Nitzsche, Kessler and Wolff",176,40.078255,-102.402743,0
4368593032190508,Carla,Fleming,9e3ee495dee3ac4577269c93c60fe0a4,2012-01-01T00:00:00.000+05:30,01:25:26,1325381126,health_fitness,"Klocko, Runolfsdottir and Breitenberg",229,40.203391,-75.552377,0
370763211656868,Jeffrey,Garza,662830b8b761f71f9689561b6693b5e3,2012-01-01T00:00:00.000+05:30,01:39:21,1325381961,grocery_net,"Swift, Bradtke and Marquardt",141,41.883148,-87.623171,0
38535403302699,William,Reed,767d7b2ae75fe076e4b570b1e34092f2,2012-01-01T00:00:00.000+05:30,01:48:56,1325382536,health_fitness,"Torp, Muller and Borer",122,39.922784,-83.450302,0
180094108369013,John,Holland,c1ad7a1b73172ef67bd24820438f3f93,2012-01-01T00:00:00.000+05:30,01:51:12,1325382672,travel,Satterfield-Lowe,81,39.015861,-119.883595,0
30300776786251,John,Brown,d92a220eefa16232fe3df1608e9f47f9,2012-01-01T00:00:00.000+05:30,01:53:34,1325382814,entertainment,Douglas-White,54,28.856204,-96.346796,0
348933408404369,Holly,Martinez,4762923bfa242dbfb4bc0b71eb602b5c,2012-01-01T00:00:00.000+05:30,01:57:46,1325383066,personal_care,Gottlieb-Hansen,99,32.434567,-82.937555,0
4006862159277,Cheryl,Rice,bd716dd399e7befd2b19a131556981a0,2012-01-01T00:00:00.000+05:30,02:06:20,1325383580,entertainment,"Turcotte, McKenzie and Koss",69,40.60042,-74.031681,0
4092259246729,Krystal,Harper,c1c852d667a3f4eedce611ac6216f17a,2012-01-01T00:00:00.000+05:30,02:10:51,1325383851,gas_transport,Erdman-Kertzmann,183,40.917215,-91.19974,0
3526015186182660,Carl,Gomez,c73c722aa30d44d0993c3779f3075f05,2012-01-01T00:00:00.000+05:30,02:25:03,1325384703,entertainment,Kilback and Sons,96,38.205946,-120.350714,0
180036251237802,Melissa,James,3459c0ed3ac66393aca153b9cad37a65,2012-01-01T00:00:00.000+05:30,02:53:45,1325386425,misc_net,Flatley-Durgan,292,38.127066,-83.606485,0
370763211656868,Jeffrey,Garza,1bdea373c526a578180cc42f364cbec7,2012-01-01T00:00:00.000+05:30,02:56:56,1325386616,shopping_pos,Lynch Ltd,203,41.885595,-87.64384,0
370763211656868,Jeffrey,Garza,dd6dab8c77567d4740bc4d76272e047e,2012-01-01T00:00:00.000+05:30,03:07:32,1325387252,misc_net,"Jones, Sawayn and Romaguera",229,41.887205,-87.604668,0
3526015186182660,Carl,Gomez,380ddce9309b1d76a3c710dd5d78bfa1,2012-01-01T00:00:00.000+05:30,03:25:36,1325388336,health_fitness,Waters-Cruickshank,118,38.201298,-120.338574,0
4550801576257,Sarah,Parsons,5758a00d6355d65de1a2ba0dd4f84644,2012-01-01T00:00:00.000+05:30,03:25:56,1325388356,entertainment,Johns Inc,621,42.104484,-80.077573,0
4354778868658084,Melissa,Baldwin,0284b01a1a36f82fadb133181d8137cc,2012-01-01T00:00:00.000+05:30,04:26:34,1325391994,shopping_pos,Torphy-Goyette,245,41.932774,-87.631766,0
374115112731710,Joseph,Steele,11efb54624f40fe00aa2345eb950c953,2012-01-01T00:00:00.000+05:30,04:42:28,1325392948,entertainment,Johns-Hoeger,64,37.802062,-117.293193,0
4515092388857440,Timothy,Silva,9b44002d29bcde9785deab425c75abee,2012-01-01T00:00:00.000+05:30,05:08:32,1325394512,shopping_pos,Stoltenberg-Beatty,158,41.55313,-83.068506,0
